Project,AHF,AIF,CF,MHF,MIF,PF
project,"74,03%","29,79%","0,47%","43,52%","39,78%","27,67%"

Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
IceCatMobile,"9,32773631840796","1,64285714285714","1,73818407960199","0,364253393665158","14,5785846806255","13,9888059701493"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Iridium Browser,"1640,25139664804","7705,71880819367","1580,5530726257","7519,62197392924","59,6983240223464","186,096834264432"
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Iridium Browser,476,20363,872641,0,27854,1603918,856859,32058,811398,651373,27277
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Iridium Browser,"83,48%","56,73%","0,27%","47,91%","39,74%","25,68%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Iridium Browser,"9,85639075753144","1,51673578199052","2,34074290728283","0,369964454976303","18,0948402948403","15,160427025446"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
JumpGo Browser,"386,086956521739","1388,84057971015","384,086956521739","1380,84057971015",2,8
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
JumpGo Browser,162,0,18683,1171,7265,96136,26502,138,24113,23250,123
Navegadores,AHF,AIF,CF,MHF,MIF,PF
JumpGo Browser,"92,04%","72,76%","15,13%","47,29%","18,20%","178,33%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
JumpGo Browser,"7,44354838709677","2,17741935483871","2,12096774193548","0,419354838709677","31,7096774193548","22,8064516129032"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Keepass2Android,"1023,58139534884","3707,1511627907","1023,58139534884","3707,1511627907",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Keepass2Android,0,0,87625,0,30541,136294,88028,0,96248,65506,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
